# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
NOEYYRYH;600;2017-07-27 22:10:01 UTC;-1;0.85;0.00;0.27;0.51;0.00;98.38
NOEYYRYH;600;2017-07-27 22:20:01 UTC;-1;0.83;0.00;0.25;0.13;0.00;98.80
NOEYYRYH;600;2017-07-27 22:30:01 UTC;-1;0.90;0.00;0.35;0.14;0.00;98.62
NOEYYRYH;599;2017-07-27 22:40:01 UTC;-1;0.85;0.00;0.25;0.14;0.00;98.76
NOEYYRYH;600;2017-07-27 22:50:01 UTC;-1;0.89;0.00;0.26;0.09;0.00;98.76
NOEYYRYH;600;2017-07-27 23:00:01 UTC;-1;0.87;0.00;0.27;0.08;0.00;98.78
NOEYYRYH;600;2017-07-27 23:10:01 UTC;-1;0.88;0.00;0.26;0.09;0.00;98.77
NOEYYRYH;600;2017-07-27 23:20:01 UTC;-1;0.85;0.00;0.25;0.09;0.00;98.82
NOEYYRYH;600;2017-07-27 23:30:01 UTC;-1;0.85;0.00;0.27;0.08;0.00;98.80
NOEYYRYH;600;2017-07-27 23:40:01 UTC;-1;1.08;0.00;0.28;0.15;0.00;98.49
NOEYYRYH;599;2017-07-27 23:50:01 UTC;-1;0.84;0.00;0.27;0.09;0.00;98.80
NOEYYRYH;600;2017-07-28 00:00:01 UTC;-1;0.85;0.00;0.26;0.08;0.00;98.81
NOEYYRYH;600;2017-07-28 00:10:01 UTC;-1;0.85;0.00;0.25;0.10;0.00;98.79
NOEYYRYH;600;2017-07-28 00:20:01 UTC;-1;0.91;0.00;0.28;0.07;0.00;98.74
NOEYYRYH;600;2017-07-28 00:30:01 UTC;-1;14.00;0.00;1.23;1.96;0.00;82.80
NOEYYRYH;600;2017-07-28 00:40:01 UTC;-1;0.90;0.00;0.27;0.08;0.00;98.75
NOEYYRYH;600;2017-07-28 00:50:01 UTC;-1;0.90;0.00;0.27;0.08;0.00;98.75
NOEYYRYH;599;2017-07-28 01:00:01 UTC;-1;1.09;0.00;0.30;0.21;0.00;98.40
NOEYYRYH;600;2017-07-28 01:10:01 UTC;-1;0.85;0.00;0.25;0.15;0.00;98.75
NOEYYRYH;600;2017-07-28 01:20:01 UTC;-1;0.89;0.16;0.34;0.74;0.00;97.88
NOEYYRYH;600;2017-07-28 01:30:01 UTC;-1;0.88;0.00;0.26;0.07;0.00;98.79
NOEYYRYH;600;2017-07-28 01:40:01 UTC;-1;0.85;0.00;0.25;0.09;0.00;98.82
NOEYYRYH;600;2017-07-28 01:50:01 UTC;-1;0.88;0.00;0.27;0.08;0.00;98.77
NOEYYRYH;600;2017-07-28 02:00:01 UTC;-1;0.87;0.00;0.27;0.08;0.00;98.79
NOEYYRYH;599;2017-07-28 02:10:01 UTC;-1;0.84;0.00;0.26;0.20;0.00;98.70
NOEYYRYH;600;2017-07-28 02:20:01 UTC;-1;0.87;0.00;0.27;0.16;0.00;98.70
NOEYYRYH;600;2017-07-28 02:30:01 UTC;-1;0.84;0.00;0.27;0.16;0.00;98.73
NOEYYRYH;600;2017-07-28 02:40:01 UTC;-1;0.87;0.00;0.28;0.08;0.00;98.76
NOEYYRYH;600;2017-07-28 02:50:01 UTC;-1;0.90;0.00;0.29;0.08;0.00;98.73
NOEYYRYH;600;2017-07-28 03:00:01 UTC;-1;0.87;0.00;0.29;0.13;0.00;98.71
NOEYYRYH;599;2017-07-28 03:10:01 UTC;-1;0.84;0.00;0.27;0.18;0.00;98.72
NOEYYRYH;600;2017-07-28 03:20:01 UTC;-1;0.85;0.00;0.27;0.20;0.00;98.67
NOEYYRYH;600;2017-07-28 03:30:01 UTC;-1;0.86;0.00;0.27;0.11;0.00;98.76
NOEYYRYH;600;2017-07-28 03:40:01 UTC;-1;0.85;0.00;0.27;0.09;0.00;98.79
NOEYYRYH;600;2017-07-28 03:50:01 UTC;-1;0.85;0.00;0.28;0.11;0.00;98.76
NOEYYRYH;600;2017-07-28 04:00:01 UTC;-1;0.89;0.00;0.29;0.10;0.00;98.73
NOEYYRYH;600;2017-07-28 04:10:01 UTC;-1;0.82;0.00;0.26;0.19;0.00;98.72
