# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
NOEYYRYH;599;2017-06-06 22:10:01 UTC;-1;0.52;0.00;0.24;0.09;0.00;99.15
NOEYYRYH;599;2017-06-06 22:20:01 UTC;-1;0.52;0.00;0.24;0.08;0.00;99.17
NOEYYRYH;598;2017-06-06 22:30:01 UTC;-1;0.52;0.00;0.23;0.07;0.00;99.18
NOEYYRYH;599;2017-06-06 22:40:01 UTC;-1;0.53;0.00;0.23;0.11;0.00;99.14
NOEYYRYH;599;2017-06-06 22:50:01 UTC;-1;0.51;0.00;0.23;0.10;0.00;99.17
NOEYYRYH;599;2017-06-06 23:00:01 UTC;-1;0.52;0.00;0.23;0.09;0.00;99.16
NOEYYRYH;599;2017-06-06 23:10:01 UTC;-1;0.52;0.00;0.23;0.07;0.00;99.18
NOEYYRYH;599;2017-06-06 23:20:01 UTC;-1;0.52;0.00;0.23;0.07;0.00;99.18
NOEYYRYH;599;2017-06-06 23:30:01 UTC;-1;0.51;0.00;0.25;0.08;0.00;99.16
NOEYYRYH;599;2017-06-06 23:40:01 UTC;-1;0.57;0.00;0.23;0.08;0.00;99.11
NOEYYRYH;598;2017-06-06 23:50:01 UTC;-1;0.53;0.00;0.24;0.06;0.00;99.17
NOEYYRYH;599;2017-06-07 00:00:01 UTC;-1;0.53;0.00;0.23;0.07;0.00;99.17
NOEYYRYH;599;2017-06-07 00:10:01 UTC;-1;0.52;0.00;0.23;0.07;0.00;99.18
NOEYYRYH;599;2017-06-07 00:20:01 UTC;-1;0.55;0.00;0.24;0.08;0.00;99.12
NOEYYRYH;600;2017-06-07 00:30:01 UTC;-1;12.94;0.00;0.90;0.46;0.00;85.70
NOEYYRYH;599;2017-06-07 00:40:01 UTC;-1;0.56;0.00;0.23;0.07;0.00;99.14
NOEYYRYH;599;2017-06-07 00:50:01 UTC;-1;0.55;0.00;0.23;0.07;0.00;99.15
NOEYYRYH;598;2017-06-07 01:00:01 UTC;-1;0.59;0.00;0.25;0.08;0.00;99.08
NOEYYRYH;600;2017-06-07 01:10:01 UTC;-1;0.52;0.00;0.24;0.18;0.00;99.06
NOEYYRYH;599;2017-06-07 01:20:01 UTC;-1;0.52;0.00;0.23;0.09;0.00;99.16
NOEYYRYH;599;2017-06-07 01:30:01 UTC;-1;0.51;0.00;0.23;0.06;0.00;99.19
NOEYYRYH;599;2017-06-07 01:40:01 UTC;-1;0.53;0.00;0.23;0.07;0.00;99.18
