# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
NOEYYRYH;60;2017-08-08 22:01:01 UTC;94.08;11.19;82.88;294.69;1243.78
NOEYYRYH;60;2017-08-08 22:02:01 UTC;293.09;2.20;290.89;95.30;4537.20
NOEYYRYH;60;2017-08-08 22:03:01 UTC;13.45;0.00;13.45;0.00;147.12
NOEYYRYH;60;2017-08-08 22:04:01 UTC;291.06;0.00;291.06;0.00;4538.40
NOEYYRYH;60;2017-08-08 22:05:01 UTC;12.22;0.00;12.22;0.00;134.22
NOEYYRYH;60;2017-08-08 22:06:01 UTC;220.66;0.00;220.66;0.00;3429.45
NOEYYRYH;60;2017-08-08 22:07:01 UTC;80.66;0.00;80.66;0.00;1220.41
NOEYYRYH;60;2017-08-08 22:08:01 UTC;221.29;0.00;221.29;0.00;3438.17
NOEYYRYH;60;2017-08-08 22:09:01 UTC;83.16;0.00;83.16;0.00;1246.43
NOEYYRYH;60;2017-08-08 22:10:01 UTC;221.43;0.00;221.43;0.00;3439.93
NOEYYRYH;60;2017-08-08 22:11:01 UTC;81.10;0.00;81.10;0.00;1224.87
NOEYYRYH;60;2017-08-08 22:12:01 UTC;290.01;0.00;290.01;0.00;4527.15
NOEYYRYH;60;2017-08-08 22:13:01 UTC;13.44;0.00;13.44;0.00;146.21
NOEYYRYH;60;2017-08-08 22:14:01 UTC;221.95;0.00;221.95;0.00;3444.74
NOEYYRYH;60;2017-08-08 22:15:01 UTC;82.14;0.03;82.11;0.27;1235.35
NOEYYRYH;60;2017-08-08 22:16:01 UTC;220.71;0.00;220.71;0.00;3429.71
NOEYYRYH;60;2017-08-08 22:17:01 UTC;80.55;0.00;80.55;0.00;1220.01
NOEYYRYH;60;2017-08-08 22:18:01 UTC;290.76;0.00;290.76;0.00;4535.02
NOEYYRYH;60;2017-08-08 22:19:01 UTC;13.72;0.00;13.72;0.00;148.85
NOEYYRYH;60;2017-08-08 22:20:02 UTC;291.13;0.00;291.13;0.00;4534.22
NOEYYRYH;59;2017-08-08 22:21:01 UTC;10.95;0.00;10.95;0.00;118.82
NOEYYRYH;60;2017-08-08 22:22:01 UTC;220.88;0.00;220.88;0.00;3431.75
NOEYYRYH;60;2017-08-08 22:23:01 UTC;82.89;0.00;82.89;0.00;1243.96
NOEYYRYH;60;2017-08-08 22:24:01 UTC;222.16;0.00;222.16;0.00;3445.76
NOEYYRYH;60;2017-08-08 22:25:01 UTC;81.72;0.00;81.72;0.00;1231.73
NOEYYRYH;60;2017-08-08 22:26:01 UTC;290.48;0.00;290.48;0.00;4531.51
NOEYYRYH;60;2017-08-08 22:27:01 UTC;11.04;0.00;11.04;0.00;120.86
NOEYYRYH;60;2017-08-08 22:28:01 UTC;291.49;0.00;291.49;0.00;4542.23
NOEYYRYH;60;2017-08-08 22:29:01 UTC;13.24;0.00;13.24;0.00;144.34
NOEYYRYH;60;2017-08-08 22:30:01 UTC;221.39;0.00;221.39;0.00;3438.52
NOEYYRYH;60;2017-08-08 22:31:01 UTC;80.68;0.03;80.65;0.27;1218.35
NOEYYRYH;60;2017-08-08 22:32:01 UTC;220.35;0.00;220.35;0.00;3426.97
NOEYYRYH;60;2017-08-08 22:33:01 UTC;83.06;0.00;83.06;0.00;1245.48
NOEYYRYH;60;2017-08-08 22:34:01 UTC;291.06;0.00;291.06;0.00;4538.41
NOEYYRYH;60;2017-08-08 22:35:01 UTC;12.14;0.00;12.14;0.00;133.93
NOEYYRYH;60;2017-08-08 22:36:01 UTC;289.69;0.00;289.69;0.00;4523.28
NOEYYRYH;60;2017-08-08 22:37:01 UTC;11.82;0.03;11.79;0.27;126.22
NOEYYRYH;60;2017-08-08 22:38:01 UTC;221.25;0.48;220.76;5.87;3431.35
NOEYYRYH;60;2017-08-08 22:39:01 UTC;83.37;0.00;83.37;0.00;1249.37
NOEYYRYH;60;2017-08-08 22:40:01 UTC;220.97;0.00;220.97;0.00;3433.79
NOEYYRYH;60;2017-08-08 22:41:01 UTC;80.94;0.00;80.94;0.00;1223.22
NOEYYRYH;60;2017-08-08 22:42:01 UTC;289.54;0.00;289.54;0.00;4521.05
NOEYYRYH;60;2017-08-08 22:43:01 UTC;13.92;0.00;13.92;0.00;150.72
NOEYYRYH;60;2017-08-08 22:44:01 UTC;291.39;0.00;291.39;0.00;4542.32
NOEYYRYH;60;2017-08-08 22:45:01 UTC;12.62;0.00;12.62;0.00;136.58
NOEYYRYH;60;2017-08-08 22:46:01 UTC;220.53;0.00;220.53;0.00;3428.29
NOEYYRYH;60;2017-08-08 22:47:01 UTC;81.41;0.03;81.38;0.27;1226.01
NOEYYRYH;60;2017-08-08 22:48:01 UTC;221.03;0.00;221.03;0.00;3436.79
NOEYYRYH;60;2017-08-08 22:49:01 UTC;83.26;0.00;83.26;0.00;1248.49
NOEYYRYH;60;2017-08-08 22:50:01 UTC;221.33;0.00;221.33;0.00;3436.69
NOEYYRYH;60;2017-08-08 22:51:01 UTC;80.41;0.00;80.41;0.00;1217.68
NOEYYRYH;60;2017-08-08 22:52:01 UTC;289.59;0.00;289.59;0.00;4522.30
NOEYYRYH;60;2017-08-08 22:53:01 UTC;12.79;0.00;12.79;0.00;141.11
NOEYYRYH;60;2017-08-08 22:54:01 UTC;292.36;0.00;292.36;0.00;4551.97
NOEYYRYH;60;2017-08-08 22:55:01 UTC;11.54;0.00;11.54;0.00;125.42
NOEYYRYH;60;2017-08-08 22:56:01 UTC;220.83;0.00;220.83;0.00;3431.09
NOEYYRYH;60;2017-08-08 22:57:01 UTC;80.89;0.00;80.89;0.00;1221.47
NOEYYRYH;60;2017-08-08 22:58:01 UTC;221.84;0.00;221.84;0.00;3443.18
NOEYYRYH;60;2017-08-08 22:59:01 UTC;82.87;0.00;82.87;0.00;1243.82
NOEYYRYH;60;2017-08-08 23:00:01 UTC;290.31;0.00;290.31;0.00;4528.89
NOEYYRYH;60;2017-08-08 23:01:01 UTC;11.94;0.00;11.94;0.00;130.44
NOEYYRYH;60;2017-08-08 23:02:01 UTC;291.96;0.73;291.23;13.88;4539.69
NOEYYRYH;60;2017-08-08 23:03:01 UTC;13.15;0.00;13.15;0.00;143.38
NOEYYRYH;60;2017-08-08 23:04:01 UTC;222.31;0.03;222.27;0.27;3446.22
NOEYYRYH;60;2017-08-08 23:05:01 UTC;81.11;0.00;81.11;0.00;1225.68
NOEYYRYH;60;2017-08-08 23:06:01 UTC;220.06;0.00;220.06;0.00;3423.04
NOEYYRYH;60;2017-08-08 23:07:01 UTC;80.91;0.00;80.91;0.00;1220.88
NOEYYRYH;60;2017-08-08 23:08:01 UTC;290.31;0.03;290.28;0.27;4531.87
NOEYYRYH;60;2017-08-08 23:09:01 UTC;14.74;0.00;14.74;0.00;159.15
NOEYYRYH;60;2017-08-08 23:10:01 UTC;290.31;0.00;290.31;0.00;4528.89
NOEYYRYH;60;2017-08-08 23:11:01 UTC;10.57;0.00;10.57;0.00;116.46
NOEYYRYH;60;2017-08-08 23:12:01 UTC;221.24;0.00;221.24;0.00;3433.72
NOEYYRYH;60;2017-08-08 23:13:01 UTC;81.73;0.00;81.73;0.00;1234.28
NOEYYRYH;60;2017-08-08 23:14:01 UTC;222.40;0.00;222.40;0.00;3447.51
NOEYYRYH;60;2017-08-08 23:15:01 UTC;80.96;0.00;80.96;0.00;1226.21
NOEYYRYH;60;2017-08-08 23:16:01 UTC;294.41;4.69;289.73;163.31;4523.68
NOEYYRYH;60;2017-08-08 23:17:01 UTC;12.19;0.00;12.19;0.00;130.60
NOEYYRYH;60;2017-08-08 23:18:01 UTC;290.63;0.00;290.63;0.00;4532.98
NOEYYRYH;60;2017-08-08 23:19:01 UTC;13.51;0.00;13.51;0.00;145.43
NOEYYRYH;60;2017-08-08 23:20:01 UTC;220.97;0.00;220.97;0.00;3433.53
NOEYYRYH;60;2017-08-08 23:21:01 UTC;80.48;0.00;80.48;0.00;1217.40
NOEYYRYH;60;2017-08-08 23:22:01 UTC;219.88;0.03;219.85;0.53;3419.92
NOEYYRYH;60;2017-08-08 23:23:01 UTC;82.69;0.00;82.69;0.00;1242.03
NOEYYRYH;60;2017-08-08 23:24:01 UTC;291.01;0.03;290.98;0.27;4536.94
NOEYYRYH;60;2017-08-08 23:25:01 UTC;11.97;0.00;11.97;0.00;130.49
NOEYYRYH;60;2017-08-08 23:26:01 UTC;289.36;0.00;289.36;0.00;4517.46
NOEYYRYH;60;2017-08-08 23:27:01 UTC;11.67;0.07;11.60;1.07;124.31
NOEYYRYH;60;2017-08-08 23:28:02 UTC;220.60;0.00;220.60;0.00;3431.13
NOEYYRYH;59;2017-08-08 23:29:01 UTC;83.67;0.00;83.67;0.00;1256.97
NOEYYRYH;60;2017-08-08 23:30:01 UTC;221.40;0.03;221.37;0.27;3436.06
NOEYYRYH;60;2017-08-08 23:31:01 UTC;80.97;0.00;80.97;0.00;1222.21
NOEYYRYH;60;2017-08-08 23:32:01 UTC;289.81;0.30;289.51;2.40;4520.71
NOEYYRYH;60;2017-08-08 23:33:01 UTC;177.59;16.49;161.09;374.38;2453.10
NOEYYRYH;60;2017-08-08 23:34:01 UTC;221.00;0.00;221.00;0.00;3433.79
NOEYYRYH;60;2017-08-08 23:35:01 UTC;82.96;0.57;82.39;8.80;1236.55
NOEYYRYH;60;2017-08-08 23:36:01 UTC;150.05;0.00;150.05;0.00;2317.57
NOEYYRYH;60;2017-08-08 23:37:01 UTC;153.30;1.12;152.18;16.01;2337.98
NOEYYRYH;60;2017-08-08 23:38:01 UTC;151.37;0.30;151.07;8.27;2331.42
NOEYYRYH;60;2017-08-08 23:39:01 UTC;153.57;0.00;153.57;0.00;2354.12
NOEYYRYH;60;2017-08-08 23:40:01 UTC;150.12;0.00;150.12;0.00;2318.21
NOEYYRYH;60;2017-08-08 23:41:01 UTC;151.20;0.03;151.17;0.27;2328.35
NOEYYRYH;60;2017-08-08 23:42:01 UTC;219.02;0.07;218.95;0.53;3410.31
NOEYYRYH;60;2017-08-08 23:43:01 UTC;83.28;0.00;83.28;0.00;1246.55
NOEYYRYH;60;2017-08-08 23:44:01 UTC;150.92;0.00;150.92;0.00;2329.55
NOEYYRYH;60;2017-08-08 23:45:01 UTC;152.73;0.03;152.69;0.27;2343.84
NOEYYRYH;60;2017-08-08 23:46:01 UTC;149.87;0.10;149.77;12.01;2312.89
NOEYYRYH;60;2017-08-08 23:47:01 UTC;151.14;0.00;151.14;0.00;2328.07
NOEYYRYH;60;2017-08-08 23:48:01 UTC;151.59;0.00;151.59;0.00;2335.83
NOEYYRYH;60;2017-08-08 23:49:01 UTC;152.64;0.00;152.64;0.00;2347.16
NOEYYRYH;60;2017-08-08 23:50:01 UTC;220.26;0.03;220.23;0.27;3423.08
NOEYYRYH;60;2017-08-08 23:51:01 UTC;80.60;0.00;80.60;0.00;1219.48
NOEYYRYH;60;2017-08-08 23:52:01 UTC;149.82;0.00;149.82;0.00;2314.49
NOEYYRYH;60;2017-08-08 23:53:01 UTC;151.85;0.00;151.85;0.00;2336.51
NOEYYRYH;60;2017-08-08 23:54:01 UTC;151.54;0.07;151.48;0.53;2335.55
NOEYYRYH;60;2017-08-08 23:55:01 UTC;151.45;0.00;151.45;0.00;2332.22
NOEYYRYH;60;2017-08-08 23:56:01 UTC;149.18;0.00;149.18;0.00;2309.44
NOEYYRYH;60;2017-08-08 23:57:01 UTC;151.52;0.00;151.52;0.00;2330.51
NOEYYRYH;60;2017-08-08 23:58:01 UTC;220.59;0.13;220.46;12.80;3427.28
NOEYYRYH;60;2017-08-08 23:59:01 UTC;82.30;0.00;82.30;0.00;1240.56
NOEYYRYH;60;2017-08-09 00:00:01 UTC;150.91;0.00;150.91;0.00;2325.96
NOEYYRYH;60;2017-08-09 00:01:01 UTC;150.38;0.13;150.25;1.07;2318.11
NOEYYRYH;60;2017-08-09 00:02:01 UTC;149.72;0.13;149.59;1.07;2314.46
NOEYYRYH;60;2017-08-09 00:03:01 UTC;152.51;0.00;152.51;0.00;2343.57
NOEYYRYH;60;2017-08-09 00:04:01 UTC;151.68;0.00;151.68;0.00;2335.17
NOEYYRYH;60;2017-08-09 00:05:01 UTC;151.15;0.00;151.15;0.00;2329.44
NOEYYRYH;60;2017-08-09 00:06:01 UTC;150.08;0.10;149.97;0.80;2316.62
NOEYYRYH;60;2017-08-09 00:07:01 UTC;150.19;0.00;150.19;0.00;2319.53
NOEYYRYH;60;2017-08-09 00:08:01 UTC;151.44;0.43;151.01;10.40;2329.45
NOEYYRYH;60;2017-08-09 00:09:01 UTC;152.07;0.00;152.07;0.00;2339.69
NOEYYRYH;60;2017-08-09 00:10:01 UTC;150.33;0.00;150.33;0.00;2323.15
NOEYYRYH;60;2017-08-09 00:11:01 UTC;150.71;0.00;150.71;0.00;2323.29
NOEYYRYH;60;2017-08-09 00:12:01 UTC;149.82;0.07;149.76;0.53;2314.49
NOEYYRYH;60;2017-08-09 00:13:01 UTC;151.88;0.00;151.88;0.00;2334.64
NOEYYRYH;60;2017-08-09 00:14:01 UTC;151.24;0.00;151.24;0.00;2331.01
NOEYYRYH;60;2017-08-09 00:15:01 UTC;151.32;0.00;151.32;0.00;2331.15
NOEYYRYH;60;2017-08-09 00:16:01 UTC;149.77;0.00;149.77;0.00;2314.48
NOEYYRYH;60;2017-08-09 00:17:01 UTC;150.25;0.03;150.22;0.27;2317.97
NOEYYRYH;60;2017-08-09 00:18:01 UTC;151.76;0.00;151.76;0.00;2336.90
NOEYYRYH;60;2017-08-09 00:19:01 UTC;151.90;0.07;151.83;0.93;2339.16
NOEYYRYH;60;2017-08-09 00:20:01 UTC;150.40;0.17;150.23;6.80;2319.04
NOEYYRYH;60;2017-08-09 00:21:01 UTC;150.43;0.00;150.43;0.00;2321.83
NOEYYRYH;60;2017-08-09 00:22:01 UTC;149.48;0.00;149.48;0.00;2311.17
NOEYYRYH;60;2017-08-09 00:23:01 UTC;151.88;0.03;151.84;0.27;2337.97
NOEYYRYH;60;2017-08-09 00:24:01 UTC;652.37;428.12;224.24;6812.51;3467.51
NOEYYRYH;60;2017-08-09 00:25:01 UTC;497.17;61.08;436.08;52427.55;6835.95
NOEYYRYH;60;2017-08-09 00:26:01 UTC;1005.94;57.66;948.28;58872.47;14957.36
NOEYYRYH;60;2017-08-09 00:27:01 UTC;779.58;121.04;658.54;123465.42;10379.99
NOEYYRYH;59;2017-08-09 00:28:01 UTC;769.20;190.20;578.99;181291.22;9070.20
NOEYYRYH;60;2017-08-09 00:29:01 UTC;775.62;182.95;592.68;184750.91;9307.07
NOEYYRYH;60;2017-08-09 00:30:01 UTC;909.87;180.62;729.25;180372.14;11472.06
NOEYYRYH;60;2017-08-09 00:31:01 UTC;585.70;164.27;421.43;166361.69;6606.56
NOEYYRYH;60;2017-08-09 00:32:01 UTC;1253.77;172.60;1081.17;86381.32;15840.96
NOEYYRYH;60;2017-08-09 00:33:01 UTC;89.19;0.90;88.29;11.74;1318.21
NOEYYRYH;60;2017-08-09 00:34:01 UTC;153.44;0.57;152.88;28.55;2348.11
NOEYYRYH;60;2017-08-09 00:35:01 UTC;150.84;0.00;150.84;0.00;2324.34
NOEYYRYH;60;2017-08-09 00:36:01 UTC;149.57;0.00;149.57;0.00;2313.96
NOEYYRYH;60;2017-08-09 00:37:01 UTC;150.78;0.00;150.78;0.00;2323.03
NOEYYRYH;60;2017-08-09 00:38:01 UTC;151.25;0.00;151.25;0.00;2333.02
NOEYYRYH;60;2017-08-09 00:39:01 UTC;154.06;0.00;154.06;0.00;2360.65
NOEYYRYH;60;2017-08-09 00:40:01 UTC;218.77;0.00;218.77;0.00;3408.71
NOEYYRYH;60;2017-08-09 00:41:01 UTC;81.68;0.00;81.68;0.00;1229.27
NOEYYRYH;60;2017-08-09 00:42:01 UTC;149.07;0.00;149.07;0.00;2307.81
NOEYYRYH;60;2017-08-09 00:43:01 UTC;153.29;1.22;152.07;17.34;2339.83
NOEYYRYH;60;2017-08-09 00:44:01 UTC;152.14;0.07;152.07;0.53;2342.61
NOEYYRYH;60;2017-08-09 00:45:01 UTC;150.60;0.00;150.60;0.00;2321.57
NOEYYRYH;60;2017-08-09 00:46:01 UTC;149.35;0.00;149.35;0.00;2311.14
NOEYYRYH;60;2017-08-09 00:47:01 UTC;150.79;0.03;150.76;0.27;2323.83
NOEYYRYH;60;2017-08-09 00:48:01 UTC;151.26;0.00;151.26;0.00;2331.83
NOEYYRYH;60;2017-08-09 00:49:01 UTC;154.29;0.00;154.29;0.00;2364.24
NOEYYRYH;60;2017-08-09 00:50:01 UTC;148.90;0.00;148.90;0.00;2306.87
NOEYYRYH;60;2017-08-09 00:51:01 UTC;151.26;0.03;151.23;0.27;2328.34
NOEYYRYH;60;2017-08-09 00:52:01 UTC;149.64;0.00;149.64;0.00;2314.22
NOEYYRYH;60;2017-08-09 00:53:01 UTC;151.95;0.00;151.95;0.00;2337.58
