# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
NOEYYRYH;600;2017-07-27 22:10:01 UTC;145452;7915896;98.20;84216;7344184;3450120;33.96
NOEYYRYH;600;2017-07-27 22:20:01 UTC;146452;7914896;98.18;84464;7344680;3452484;33.99
NOEYYRYH;600;2017-07-27 22:30:01 UTC;4041212;4020136;49.87;85528;3538936;3454008;34.00
NOEYYRYH;599;2017-07-27 22:40:01 UTC;3956552;4104796;50.92;88024;3621256;3454756;34.01
NOEYYRYH;600;2017-07-27 22:50:01 UTC;3871580;4189768;51.97;90500;3703560;3453964;34.00
NOEYYRYH;600;2017-07-27 23:00:01 UTC;3787440;4273908;53.02;92968;3785892;3453280;33.99
NOEYYRYH;600;2017-07-27 23:10:01 UTC;3702228;4359120;54.07;95452;3868268;3453812;34.00
NOEYYRYH;600;2017-07-27 23:20:01 UTC;3617380;4443968;55.13;97820;3950588;3454808;34.01
NOEYYRYH;600;2017-07-27 23:30:01 UTC;3533264;4528084;56.17;100204;4032904;3452868;33.99
NOEYYRYH;600;2017-07-27 23:40:01 UTC;3439936;4621412;57.33;105212;4120580;3452856;33.99
NOEYYRYH;599;2017-07-27 23:50:01 UTC;3352080;4709268;58.42;107580;4202896;3454004;34.00
NOEYYRYH;600;2017-07-28 00:00:01 UTC;3265264;4796084;59.49;110060;4285192;3454148;34.00
NOEYYRYH;600;2017-07-28 00:10:01 UTC;3178132;4883216;60.58;112668;4367528;3452868;33.99
NOEYYRYH;600;2017-07-28 00:20:01 UTC;3092188;4969160;61.64;115128;4449840;3451672;33.98
NOEYYRYH;600;2017-07-28 00:30:01 UTC;646576;7414772;91.98;192652;6147072;3844764;37.85
NOEYYRYH;600;2017-07-28 00:40:01 UTC;559652;7501696;93.06;195144;6229368;3843392;37.83
NOEYYRYH;600;2017-07-28 00:50:01 UTC;472116;7589232;94.14;197656;6311676;3844768;37.85
NOEYYRYH;599;2017-07-28 01:00:01 UTC;766948;7294400;90.49;201428;6396824;3454136;34.00
NOEYYRYH;600;2017-07-28 01:10:01 UTC;678440;7382908;91.58;203976;6479132;3454808;34.01
NOEYYRYH;600;2017-07-28 01:20:01 UTC;532484;7528864;93.39;226412;6589876;3454004;34.00
NOEYYRYH;600;2017-07-28 01:30:01 UTC;446236;7615112;94.46;228792;6672180;3454532;34.01
NOEYYRYH;600;2017-07-28 01:40:01 UTC;359048;7702300;95.55;231204;6754484;3454360;34.00
NOEYYRYH;600;2017-07-28 01:50:01 UTC;271140;7790208;96.64;233640;6836796;3454228;34.00
NOEYYRYH;600;2017-07-28 02:00:01 UTC;184836;7876512;97.71;236080;6919096;3450120;33.96
NOEYYRYH;599;2017-07-28 02:10:01 UTC;147376;7913972;98.17;205048;6987772;3450120;33.96
NOEYYRYH;600;2017-07-28 02:20:01 UTC;134260;7927088;98.33;177368;7027912;3453872;34.00
NOEYYRYH;600;2017-07-28 02:30:01 UTC;146768;7914580;98.18;146276;7046764;3454008;34.00
NOEYYRYH;600;2017-07-28 02:40:01 UTC;135608;7925740;98.32;148708;7055056;3453996;34.00
NOEYYRYH;600;2017-07-28 02:50:01 UTC;154832;7906516;98.08;151248;7033224;3453700;34.00
NOEYYRYH;600;2017-07-28 03:00:01 UTC;155712;7905636;98.07;153840;7029584;3453476;34.00
NOEYYRYH;599;2017-07-28 03:10:01 UTC;161560;7899788;98.00;156676;7022164;3450120;33.96
NOEYYRYH;600;2017-07-28 03:20:01 UTC;154612;7906736;98.08;159204;7025936;3453040;33.99
NOEYYRYH;600;2017-07-28 03:30:01 UTC;140800;7920548;98.25;161628;7037636;3454360;34.00
NOEYYRYH;600;2017-07-28 03:40:01 UTC;148256;7913092;98.16;164112;7029336;3454004;34.00
NOEYYRYH;600;2017-07-28 03:50:01 UTC;157684;7903664;98.04;166660;7019992;3452216;33.98
NOEYYRYH;600;2017-07-28 04:00:01 UTC;141436;7919912;98.25;169160;7032684;3453964;34.00
NOEYYRYH;600;2017-07-28 04:10:01 UTC;148892;7912456;98.15;171708;7024400;3452628;33.99
NOEYYRYH;599;2017-07-28 04:20:01 UTC;156320;7905028;98.06;174200;7017144;3453604;34.00
NOEYYRYH;600;2017-07-28 04:30:01 UTC;136376;7924972;98.31;176756;7034968;3451936;33.98
