# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
NOEYYRYH;60;2017-07-30 22:01:01 UTC;75.42;305.69;1291.82;0.52;461.67;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:02:01 UTC;24.54;1126.11;1292.83;0.20;783.31;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:03:01 UTC;0.00;29.75;634.72;0.00;253.43;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:04:01 UTC;0.00;853.44;1182.15;0.00;740.09;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:05:01 UTC;0.00;298.93;610.45;0.00;257.62;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:06:01 UTC;0.00;846.76;1195.15;0.00;744.88;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:07:01 UTC;0.00;300.02;642.72;0.00;262.38;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:08:01 UTC;0.00;852.28;1133.66;0.00;661.68;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:09:01 UTC;0.00;305.00;677.25;0.00;335.21;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:10:01 UTC;0.00;1122.09;1180.34;0.00;687.52;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:11:01 UTC;0.00;24.09;631.31;0.00;313.69;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:12:01 UTC;0.00;846.82;1153.21;0.00;691.96;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:13:01 UTC;0.00;305.17;698.03;0.00;323.47;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:14:01 UTC;0.00;853.04;1081.75;0.00;664.21;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:15:01 UTC;0.07;298.87;709.87;0.00;329.89;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:16:01 UTC;0.00;849.22;1084.56;0.00;669.37;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:17:01 UTC;0.00;297.50;747.15;0.00;335.93;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:18:01 UTC;0.00;853.97;1084.79;0.00;663.58;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:19:01 UTC;0.00;304.50;742.16;0.00;335.86;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:20:01 UTC;0.00;847.82;1080.28;0.00;665.86;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:21:01 UTC;0.00;298.35;726.48;0.00;335.70;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:22:01 UTC;0.00;847.03;1091.96;0.00;667.03;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:23:01 UTC;0.00;304.83;743.36;0.00;336.96;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:24:02 UTC;0.00;854.49;1078.56;0.00;663.58;0.00;0.00;0.00;0.00
NOEYYRYH;59;2017-07-30 22:25:01 UTC;0.00;304.95;747.57;0.00;340.57;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:26:01 UTC;0.00;574.79;998.87;0.00;589.55;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:27:01 UTC;0.00;571.59;801.98;0.00;410.44;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:28:01 UTC;0.00;579.49;1032.23;0.00;598.32;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:29:01 UTC;0.00;577.99;784.41;0.00;401.08;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:30:01 UTC;0.00;574.83;1000.25;0.00;587.90;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:31:01 UTC;0.00;571.52;814.50;0.00;422.84;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:32:01 UTC;0.00;575.35;1013.56;0.00;587.59;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:33:01 UTC;0.00;578.23;827.07;0.00;413.17;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:34:01 UTC;0.00;579.62;989.49;0.00;587.24;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:35:01 UTC;0.00;572.61;812.74;0.00;410.86;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:36:01 UTC;0.00;574.72;1009.14;0.00;592.58;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:37:01 UTC;0.00;571.30;804.85;0.00;409.95;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:38:01 UTC;0.00;579.79;1026.96;0.00;594.03;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:39:01 UTC;0.00;578.48;784.00;0.00;406.16;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:40:01 UTC;0.00;574.26;1028.88;0.00;602.57;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:41:01 UTC;0.00;570.50;800.02;0.00;410.89;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:42:01 UTC;0.00;574.99;1010.80;0.00;590.51;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 22:43:01 UTC;0.00;576.43;801.28;0.00;408.60;0.00;0.00;0.00;0.00
