# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15
NOEYYRYH;60;2017-08-08 22:01:01 UTC;5;208;0.03;0.01;0.00
NOEYYRYH;60;2017-08-08 22:02:01 UTC;2;204;0.01;0.01;0.00
NOEYYRYH;60;2017-08-08 22:03:01 UTC;4;205;0.08;0.02;0.01
NOEYYRYH;60;2017-08-08 22:04:01 UTC;4;204;0.03;0.01;0.00
NOEYYRYH;60;2017-08-08 22:05:01 UTC;6;199;0.09;0.02;0.01
NOEYYRYH;60;2017-08-08 22:06:01 UTC;5;205;0.03;0.02;0.00
NOEYYRYH;60;2017-08-08 22:07:01 UTC;2;199;0.01;0.01;0.00
NOEYYRYH;60;2017-08-08 22:08:01 UTC;3;203;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:09:01 UTC;3;203;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:10:01 UTC;3;204;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:11:01 UTC;0;197;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:12:01 UTC;5;205;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:13:01 UTC;2;202;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:14:01 UTC;5;204;0.04;0.01;0.00
NOEYYRYH;60;2017-08-08 22:15:01 UTC;5;197;0.01;0.01;0.00
NOEYYRYH;60;2017-08-08 22:16:01 UTC;3;203;0.05;0.02;0.00
NOEYYRYH;60;2017-08-08 22:17:01 UTC;0;196;0.02;0.01;0.00
NOEYYRYH;60;2017-08-08 22:18:01 UTC;4;204;0.05;0.02;0.00
NOEYYRYH;60;2017-08-08 22:19:01 UTC;4;199;0.02;0.02;0.00
NOEYYRYH;60;2017-08-08 22:20:02 UTC;5;204;0.00;0.01;0.00
NOEYYRYH;59;2017-08-08 22:21:01 UTC;3;203;0.08;0.02;0.01
NOEYYRYH;60;2017-08-08 22:22:01 UTC;1;200;0.07;0.03;0.00
NOEYYRYH;60;2017-08-08 22:23:01 UTC;1;200;0.02;0.02;0.00
NOEYYRYH;60;2017-08-08 22:24:01 UTC;4;204;0.01;0.02;0.00
NOEYYRYH;60;2017-08-08 22:25:01 UTC;4;203;0.00;0.01;0.00
NOEYYRYH;60;2017-08-08 22:26:01 UTC;4;199;0.00;0.01;0.00
NOEYYRYH;60;2017-08-08 22:27:01 UTC;1;199;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:28:01 UTC;3;204;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:29:01 UTC;3;203;0.07;0.02;0.00
NOEYYRYH;60;2017-08-08 22:30:01 UTC;3;203;0.02;0.01;0.00
NOEYYRYH;60;2017-08-08 22:31:01 UTC;3;203;0.01;0.00;0.00
NOEYYRYH;60;2017-08-08 22:32:01 UTC;3;199;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:33:01 UTC;3;203;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:34:01 UTC;6;204;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:35:01 UTC;4;196;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:36:01 UTC;6;197;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:37:01 UTC;6;200;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:38:01 UTC;4;204;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:39:01 UTC;2;204;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:40:01 UTC;0;196;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:41:01 UTC;1;196;0.08;0.02;0.01
NOEYYRYH;60;2017-08-08 22:42:01 UTC;2;203;0.03;0.01;0.00
NOEYYRYH;60;2017-08-08 22:43:01 UTC;3;203;0.09;0.02;0.01
NOEYYRYH;60;2017-08-08 22:44:01 UTC;2;203;0.03;0.02;0.00
NOEYYRYH;60;2017-08-08 22:45:01 UTC;4;204;0.09;0.03;0.01
NOEYYRYH;60;2017-08-08 22:46:01 UTC;1;201;0.11;0.04;0.01
NOEYYRYH;60;2017-08-08 22:47:01 UTC;2;201;0.04;0.03;0.00
NOEYYRYH;60;2017-08-08 22:48:01 UTC;2;202;0.09;0.04;0.01
NOEYYRYH;60;2017-08-08 22:49:01 UTC;3;200;0.03;0.03;0.00
NOEYYRYH;60;2017-08-08 22:50:01 UTC;3;205;0.01;0.02;0.00
NOEYYRYH;60;2017-08-08 22:51:01 UTC;5;199;0.00;0.02;0.00
NOEYYRYH;60;2017-08-08 22:52:01 UTC;3;198;0.00;0.01;0.00
NOEYYRYH;60;2017-08-08 22:53:01 UTC;3;203;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:54:01 UTC;1;200;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:55:01 UTC;6;193;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:56:01 UTC;4;199;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:57:01 UTC;1;197;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:58:01 UTC;3;204;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 22:59:01 UTC;2;203;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:00:01 UTC;6;197;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:01:01 UTC;4;202;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:02:01 UTC;1;202;0.03;0.01;0.00
NOEYYRYH;60;2017-08-08 23:03:01 UTC;4;205;0.01;0.01;0.00
NOEYYRYH;60;2017-08-08 23:04:01 UTC;4;204;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:05:01 UTC;3;204;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:06:01 UTC;4;204;0.04;0.01;0.00
NOEYYRYH;60;2017-08-08 23:07:01 UTC;1;199;0.01;0.01;0.00
NOEYYRYH;60;2017-08-08 23:08:01 UTC;4;205;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:09:01 UTC;5;205;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:10:01 UTC;1;200;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:11:01 UTC;1;202;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:12:01 UTC;4;205;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:13:01 UTC;6;195;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:14:01 UTC;3;202;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:15:01 UTC;2;200;0.00;0.00;0.00
NOEYYRYH;60;2017-08-08 23:16:01 UTC;6;199;0.00;0.00;0.00
