# hostname;interval;timestamp;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
NOEYYRYH;60;2017-08-07 22:01:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:02:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:03:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:04:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:05:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:06:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:07:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:08:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:09:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:10:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:11:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:12:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:13:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:14:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:15:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:16:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:17:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:18:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:19:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:20:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:21:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:22:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:23:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:24:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:25:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:26:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:27:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:28:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:29:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:30:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:31:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:32:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:33:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:34:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 22:35:01 UTC;2097008;140;0.01;0;0.00
